And,677,3092
And,3092,5447
And,9640,5447
And,5447,4436
And,4436,3881
Ant,51172,48926
Aps,72370,81065
Aps,81065,81852
Aql,98036,97649
Aql,97649,97278
Aql,97649,95501
Aql,95501,97804
Aql,99473,97804
Aql,95501,93747
Aql,93747,93244
Aql,95501,93805
Aqr,106278,109074
Aqr,109074,110395
Aqr,110395,110960
Aqr,110960,111497
Aqr,111497,112961
Aqr,112961,114855
Aqr,114855,115438
Aqr,109074,110003
Aqr,110003,109139
Aqr,110003,111123
Aqr,111123,112716
Aqr,112716,113136
Aqr,113136,114341
Aqr,102618,106278
Ara,88714,85792
Ara,85792,83081
Ara,83081,82363
Ara,82363,85727
Ara,85727,85267
Ara,85267,85258
Ara,85258,88714
Ari,13209,9884
Ari,9884,8903
Ari,8903,8832
Aur,28380,28360
Aur,28360,24608
Aur,24608,23453
Aur,23453,23015
Aur,25428,23015
Aur,25428,28380
Boo,71795,69673
Boo,69673,72105
Boo,72105,74666
Boo,74666,73555
Boo,73555,71075
Boo,71075,71053
Boo,71053,69673
Boo,69673,67927
Boo,67927,67459
Cae,21060,21770
Cae,21770,21861
Cam,16228,18505
Cam,18505,22783
Cam,16228,17959
Cam,17959,22783
Cam,17959,25110
Cap,100064,100345
Cap,100345,104139
Cap,104139,105515
Cap,105515,106985
Cap,106985,107556
Cap,105515,105881
Cap,105881,104139
Cap,100345,102485
Cap,104139,102978
Car,45238,50099
Car,50099,52419
Car,52419,52468
Car,52468,54463
Car,54463,53253
Car,53253,51232
Car,51232,50371
Car,50371,45556
Car,42568,41037
Car,41037,30438
Car,45080,45556
Car,45080,42568
Car,30438,31685
Car,41037,39429
Cas,8886,6686
Cas,6686,4427
Cas,4427,3179
Cas,3179,746
Cen,71683,68702
Cen,68702,66657
Cen,66657,68002
Cen,68002,68282
Cen,68282,67472
Cen,67472,67464
Cen,67464,65936
Cen,65936,65109
Cen,67464,68933
Cen,67472,71352
Cen,71352,73334
Cen,68002,61932
Cen,61932,60823
Cen,60823,59196
Cen,59196,56480
Cen,56480,56561
Cep,109492,112724
Cep,112724,106032
Cep,106032,105199
Cep,105199,109492
Cep,112724,116727
Cep,116727,106032
Cet,10324,11484
Cet,8102,3419
Cet,3419,1562
Cet,3419,5364
Cet,5364,6537
Cet,6537,8645
Cet,8645,11345
Cet,11345,12390
Cet,12390,12770
Cet,12770,11783
Cet,11783,8102
Cet,10826,12390
Cet,10826,12387
Cet,12387,12706
Cet,12706,14135
Cet,14135,13954
Cet,13954,12828
Cet,12828,11484
Cet,11484,12093
Cet,12093,12706
Cha,40702,51839
Cha,51839,60000
Cir,71908,75323
Cir,71908,74824
CMa,33160,34045
CMa,34045,33347
CMa,33347,32349
CMa,32349,33977
CMa,33977,34444
CMa,34444,35037
CMa,35037,35904
CMa,33579,33856
CMa,33856,34444
CMa,33856,33165
